name,launch_date,decayed,period,height_km,latitude,longitude,velocity_kms,id
STARLINK-30,2019-05-24,True,87.635,,,,,5eed770f096e59000698560d
STARLINK-74,2019-05-24,True,88.349,,,,,5eed770f096e59000698560e
STARLINK-29,2019-05-24,True,87.22,,,,,5eed770f096e59000698560f
STARLINK-76,2019-05-24,True,87.617,,,,,5eed770f096e590006985610
STARLINK-23,2019-05-24,True,87.76,,,,,5eed770f096e590006985611
STARLINK-22,2019-05-24,True,87.694,,,,,5eed770f096e590006985612
STARLINK-26,2019-05-24,True,87.721,,,,,5eed770f096e590006985613
STARLINK-27,2019-05-24,True,87.563,,,,,5eed770f096e590006985614
STARLINK-58,2019-05-24,True,87.284,,,,,5eed770f096e590006985615
TINTIN A,2018-02-22,True,87.794,,,,,5eed770f096e590006985616
TINTIN B,2018-02-22,True,87.354,,,,,5eed770f096e590006985617
STARLINK-68,2019-05-24,True,88.091,,,,,5eed770f096e590006985618
STARLINK-31,2019-05-24,True,87.439,,,,,5eed770f096e590006985619
STARLINK-28,2019-05-24,True,87.155,,,,,5eed770f096e59000698561a
STARLINK-61,2019-05-24,True,88.103,,,,,5eed7713096e59000698561b
STARLINK-34,2019-05-24,True,87.436,,,,,5eed7714096e59000698561c
STARLINK-37,2019-05-24,True,87.979,,,,,5eed7714096e59000698561d
STARLINK-33,2019-05-24,True,87.175,,,,,5eed7714096e59000698561e
STARLINK-25,2019-05-24,True,87.641,,,,,5eed7714096e59000698561f
STARLINK-39,2019-05-24,True,88.084,,,,,5eed7714096e590006985620
STARLINK-36,2019-05-24,True,88.555,,,,,5eed7714096e590006985621
STARLINK-66,2019-05-24,True,87.196,,,,,5eed7714096e590006985622
STARLINK-71,2019-05-24,True,88.187,,,,,5eed7714096e590006985623
STARLINK-21,2019-05-24,True,87.655,,,,,5eed7714096e590006985624
STARLINK-40,2019-05-24,True,86.978,,,,,5eed7714096e590006985625
STARLINK-42,2019-05-24,True,87.567,,,,,5eed7714096e590006985626
STARLINK-32,2019-05-24,True,87.362,,,,,5eed7714096e590006985627
STARLINK-45,2019-05-24,True,87.877,,,,,5eed7714096e590006985628
STARLINK-43,2019-05-24,True,87.156,,,,,5eed7714096e590006985629
STARLINK-44,2019-05-24,True,88.06,,,,,5eed7714096e59000698562a
STARLINK-72,2019-05-24,True,87.315,,,,,5eed7714096e59000698562b
STARLINK-49,2019-05-24,True,88.684,,,,,5eed7714096e59000698562c
STARLINK-52,2019-05-24,True,88.179,,,,,5eed7714096e59000698562d
STARLINK-54,2019-05-24,True,87.138,,,,,5eed7714096e59000698562e
STARLINK-63,2019-05-24,True,87.784,,,,,5eed7714096e59000698562f
STARLINK-51,2019-05-24,True,87.874,,,,,5eed7714096e590006985630
STARLINK-69,2019-05-24,True,88.254,,,,,5eed7714096e590006985631
STARLINK-59,2019-05-24,True,88.304,,,,,5eed7714096e590006985632
STARLINK-60,2019-05-24,True,87.683,,,,,5eed7714096e590006985633
STARLINK-24,2019-05-24,True,88.042,,,,,5eed7714096e590006985634
STARLINK-55,2019-05-24,True,86.983,,,,,5eed7714096e590006985635
STARLINK-41,2019-05-24,True,87.93,,,,,5eed7714096e590006985636
STARLINK-65,2019-05-24,True,88.166,,,,,5eed7714096e590006985637
STARLINK-56,2019-05-24,True,88.292,,,,,5eed7714096e590006985638
STARLINK-80,2019-05-24,True,88.489,,,,,5eed7714096e590006985639
STARLINK-73,2019-05-24,True,87.968,,,,,5eed7714096e59000698563a
STARLINK-67,2019-05-24,True,87.584,,,,,5eed7714096e59000698563b
STARLINK-64,2019-05-24,True,87.984,,,,,5eed7714096e59000698563c
STARLINK-38,2019-05-24,True,87.384,,,,,5eed7714096e59000698563d
STARLINK-75,2019-05-24,True,87.815,,,,,5eed7714096e59000698563e
STARLINK-70,2019-05-24,True,87.938,,,,,5eed7714096e59000698563f
STARLINK-35,2019-05-24,True,87.743,,,,,5eed7714096e590006985640
STARLINK-53,2019-05-24,True,87.99,,,,,5eed7714096e590006985641
STARLINK-1009,2019-11-11,False,95.592,551.97843171976,49.63570349585987,-120.81567094283065,7.592394287918366,5eed7714096e590006985642
STARLINK-48,2019-05-24,True,87.894,,,,,5eed7714096e590006985643
STARLINK-81,2019-05-24,True,87.701,,,,,5eed7714096e590006985644
STARLINK-62,2019-05-24,True,87.245,,,,,5eed7714096e590006985645
STARLINK-77,2019-05-24,True,88.571,,,,,5eed7714096e590006985646
STARLINK-50,2019-05-24,True,87.988,,,,,5eed7714096e590006985647
STARLINK-1010,2019-11-11,False,95.592,553.5673490877389,-22.195023107488606,159.77312127185127,7.584979177599639,5eed7714096e590006985648
STARLINK-57,2019-05-24,True,87.774,,,,,5eed7714096e590006985649
STARLINK-79,2019-05-24,True,88.065,,,,,5eed7714096e59000698564a
STARLINK-1007,2019-11-11,False,95.592,566.177210091244,-51.35133791052966,66.81662785344031,7.577226043933729,5eed7714096e59000698564b
STARLINK-78,2019-05-24,True,88.258,,,,,5eed7714096e59000698564c
STARLINK-1016,2019-11-11,False,95.593,547.8106793129455,28.92516269814258,-158.0557362480994,7.592489691620256,5eed7714096e59000698564d
STARLINK-1011,2019-11-11,False,95.593,550.8578828694699,-14.472958751594643,-173.5913596565454,7.58692987209174,5eed7714096e59000698564e
STARLINK-1015,2019-11-11,False,95.592,549.3396730027262,39.161303085994646,-144.9263839758776,7.592936258472526,5eed7714096e59000698564f
STARLINK-1017,2019-11-11,False,95.592,559.596684815644,-36.64482567025677,143.72669524009416,7.581144485777749,5eed7714096e590006985650
STARLINK-1013,2019-11-11,False,95.592,552.6080184948214,53.157364903096685,-89.0893099033763,7.592492796986943,5eed7714096e590006985651
STARLINK-1019,2019-11-11,False,95.592,547.6587258892268,22.04525197865137,-20.08997328370842,7.591436826580313,5eed7714096e590006985652
STARLINK-1023,2019-11-11,True,88.408,,,,,5eed7714096e590006985653
STARLINK-1020,2019-11-11,False,95.593,550.7229769186752,42.81077720374015,-26.310398043430386,7.592255767600896,5eed7714096e590006985654
STARLINK-1024,2019-11-11,False,94.704,523.2469251605053,-53.1121530912205,87.34708209845677,7.601106913932934,5eed7714096e590006985655
STARLINK-1021,2019-11-11,False,95.593,547.6417388212249,6.317550149231022,-7.2242897274647575,7.589799515043443,5eed7714096e590006985656
STARLINK-1039,2019-11-11,False,95.592,548.945607696578,-6.475898260364571,-147.3239903157404,7.588367560906162,5eed7714096e590006985657
STARLINK-1022,2019-11-11,False,95.593,552.2559937480519,-18.273163182662557,-156.75365591114502,7.585851124971276,5eed7714096e590006985658
STARLINK-1008,2019-11-11,False,95.592,566.2647960338572,-52.08705841661064,134.1725794700431,7.577296736079264,5eed7714096e590006985659
STARLINK-1028,2019-11-11,False,95.592,549.9711261410703,-9.72513088428099,4.890945086567368,7.587449551995332,5eed7714096e59000698565a
